Go.	Va !
Run!	Cours !
Run!	Courez !
Wow!	Ça alors !
Fire!	Au feu !
Help!	À l'aide !
Jump.	Saute.
Stop!	Ça suffit !
Stop!	Stop !
Stop!	Arrête-toi !
Wait!	Attends !
Wait!	Attendez !
I see.	Je comprends.
I try.	J'essaye.
I won!	J'ai gagné !
I won!	Je l'ai emporté !
Oh no!	Oh non !
Attack!	Attaque !
Attack!	Attaquez !
Cheers!	Santé !
Cheers!	À votre santé !
Cheers!	Merci !
Get up.	Lève-toi.
Got it!	J'ai pigé !
Got it!	Compris !
Got it?	Pigé ?
Got it?	Compris ?
Got it?	T'as capté ?
Hop in.	Monte.
Hop in.	Montez.
Hug me.	Serre-moi dans tes bras !
Hug me.	Serrez-moi dans vos bras !
I fell.	Je suis tombée.
I fell.	Je suis tombé.
I know.	Je sais.
I left.	Je suis parti.
I left.	Je suis partie.
I lost.	J'ai perdu.
I'm 19.	J'ai 19 ans.
I'm OK.	Je vais bien.
I'm OK.	Ça va.
Listen.	Écoutez !
No way!	Impossible !
No way!	En aucun cas.
No way!	C'est hors de question !
No way!	Il n'en est pas question !
No way!	C'est exclu !
No way!	En aucune manière !
No way!	Hors de question !
Really?	Vraiment ?
Really?	Vrai ?
Really?	Ah bon ?
Thanks.	Merci !
We try.	On essaye.
We won.	Nous avons gagné.
We won.	Nous gagnâmes.
We won.	Nous l'avons emporté.
We won.	Nous l'emportâmes.
Ask Tom.	Demande à Tom.
Awesome!	Fantastique !
Be calm.	Sois calme !
Be calm.	Soyez calme !
Be calm.	Soyez calmes !
Be cool.	Sois détendu !
Be fair.	Sois juste !
Be fair.	Soyez juste !
Be fair.	Soyez justes !
He is very angry.	Il est fort en colère.
He is very brave.	Il est très courageux.
He is very brave.	Il est fort courageux.
He is very young.	Il est très jeune.
He is well-liked.	Il est bien apprécié.
He isn't at home.	Il n'est pas à la maison.
He isn't married.	Il n'est pas marié.
He isn't perfect.	Il n'est pas parfait.
He keeps a diary.	Il tient un journal intime.
He kept his word.	Il a tenu parole.
He kept his word.	Il tint parole.
He knows his job.	Il connaît son métier.
He knows my wife.	Il connait ma femme.
He laughed at me.	Il rit de moi.
He laughed at me.	Il a ri de moi.
He laughed at me.	Il me rit au nez.
He laughed at me.	Il m'a ri au nez.
He left after me.	Il est parti après moi.
He left his wife.	Il a quitté sa femme.
He left his wife.	Il a quitté son épouse.
He likes animals.	Il aime les animaux.
He likes fishing.	Il aime pêcher.
He likes hunting.	Il aime chasser.
He likes oranges.	Il aime les oranges.
He likes to hunt.	Il aime chasser.
He looked around.	Il a regardé aux alentours.
He looks healthy.	Il a l'air en bonne santé.
He loves animals.	Il adore les animaux.
He loves singing.	Il adore chanter.
He made me do it.	Il me l'a fait faire.
He made no reply.	Il ne fit pas de réponse.
He made no reply.	Il n'a pas répondu.
He made no reply.	Il ne répondit pas.
He made no reply.	Il n'a pas fait de réponse.
He meant no harm.	Il n'avait pas de mauvaise intention.
He meant no harm.	Il ne pensait pas à mal.
He moves quickly.	Il se meut rapidement.
He must be tired.	Il doit être fatigué.
He must love you.	Il doit t'aimer.
He must not live.	Il ne doit pas vivre.
He needs a towel.	Il lui faut une serviette.
He painted a dog.	Il a peint un chien.
He painted a dog.	Il peignit un chien.
He played tennis.	Il a joué au tennis.
He ran into debt.	Il s'est endetté.
He ratted us out.	Il nous a dénoncés.
He ratted us out.	Il nous a dénoncées.
He remained dumb.	Il est resté silencieux.
He retired at 65.	Il a pris sa retraite à 65 ans.
He saved my life.	Il m'a sauvé la vie.
He scares easily.	Il prend facilement peur.
He shall have it.	Il doit l'avoir !
He shares a room.	Il partage une chambre.
He shut the door.	Il ferma la porte.
He slept all day.	Il a dormi toute la journée.
He slept an hour.	Il a dormi une heure.
He slept an hour.	Il dormit une heure.
He slept soundly.	Il dormait profondément.
He speaks French.	Il parle français.
He speaks French.	Il parle le français.
He told everyone.	Il le dit à tout le monde.
He told everyone.	Il l'a dit à tout le monde.
He took his book.	Il a pris son livre.
He took his book.	Il a pris son ouvrage.
He took his time.	Il prit son temps.
He took his time.	Il a pris son temps.
He turned around.	Il tourna autour.
He used his head.	Il a utilisé sa tête.
He wants to come.	Il veut venir.
